Features,Cover,Gain,NA_full,NA_target,Path,Field,ValueType,Units
20107-0.3_pos,0.0011111111111111111,0.0001811262469017552,0.0,0.0,,20107-0.3_pos,,
4581-0.0_c3,0.0008888888888888889,0.0001802888233867478,0.0,0.0,,4581-0.0_c3,,
1110-0.0_c1,0.0006666666666666668,0.00017548778762939491,0.0,0.0,,1110-0.0_c1,,
6164-0.3_pos,0.0006666666666666668,0.000175105543424257,0.0,0.0,,6164-0.3_pos,,
1349-0.0_c6,0.0006666666666666668,0.0001736118384688092,0.0,0.0,,1349-0.0_c6,,
23114-0.0,0.0008888888888888889,0.00017224662372022863,2.0,3.7,,23114-0.0,,
2110-0.0_c0,0.0008888888888888889,0.00017067769556508664,0.0,0.0,,2110-0.0_c0,,
23101-0.0,0.0011111111111111113,0.00016989551065831548,2.0,3.7,,23101-0.0,,
21000-0.0_c1,0.0011111111111111111,0.00016985819377269664,0.0,0.0,,21000-0.0_c1,,
4570-0.0_c1,0.0008888888888888889,0.0001692817994358097,0.0,0.0,,4570-0.0_c1,,
2217-0.0,0.0008888888888888889,0.0001680173092252227,15.4,11.8,,2217-0.0,,
2375-0.0_c1,0.00022222222222222223,0.00016767622005207832,0.0,0.0,,2375-0.0_c1,,
130-0.0,0.0008888888888888889,0.00016516160633336133,11.5,11.5,,130-0.0,,
51-0.0,0.0008888888888888889,0.0001594967430926448,1.2,2.4,,51-0.0,,
1438-0.0,0.0008888888888888889,0.00015912559843683205,2.1,3.9,,1438-0.0,,
30690-0.0,0.0008888888888888889,0.00015879517778002414,6.5,7.8,,30690-0.0,,
2724-0.0_c0,0.0006666666666666668,0.0001569782862772474,0.0,0.0,,2724-0.0_c0,,
1950-0.0_c0,0.0008888888888888889,0.00015612861329082514,0.0,0.0,,1950-0.0_c0,,
2664-0.0_c1,0.0011111111111111111,0.00015556764026102606,0.0,0.0,,2664-0.0_c1,,
6141-0.0_pos,0.0008888888888888889,0.00015501674662313168,0.0,0.0,,6141-0.0_pos,,
30190-0.0,0.0008888888888888889,0.00015037213980636488,5.0,6.2,,30190-0.0,,
1349-0.0_c4,0.0006666666666666668,0.00014926165257823692,0.0,0.0,,1349-0.0_c4,,
23117-0.0,0.0008888888888888889,0.00014715743347863317,2.0,3.7,,23117-0.0,,
2247-0.0_c1,0.00044444444444444447,0.000146627552150495,0.0,0.0,,2247-0.0_c1,,
30250-0.0,0.0008888888888888889,0.00014523606313071702,6.5,7.3,,30250-0.0,,
2010-0.0_c2,0.00044444444444444447,0.00014472181607592548,0.0,0.0,,2010-0.0_c2,,
4570-0.0_c0,0.0008888888888888889,0.00013801660223880627,0.0,0.0,,4570-0.0_c0,,
943-0.0_c2,0.0008888888888888889,0.00013659729290469043,0.0,0.0,,943-0.0_c2,,
3393-0.0_c2,0.0008888888888888889,0.00013634707991534907,0.0,0.0,,3393-0.0_c2,,
2774-0.0_c2,0.00022222222222222223,0.00013634388659797907,0.0,0.0,,2774-0.0_c2,,
